X_upper,Y_upper,X_lower,Y_lower
0.0,-0.027,,
0.00010999999999999999,0.193,0.0005899999999999999,-0.21
0.0009299999999999999,0.439,0.0018599999999999999,-0.327
0.0027500000000000003,0.732,0.00404,-0.377
0.0059299999999999995,1.08,0.00787,0.33
0.01052,1.447,0.01592,-0.23
0.021,2.062,0.03001,-0.079
0.03643,2.703,0.05518,0.189
0.05672,3.24,0.09537000000000001,0.488
0.07687000000000001,3.552,0.13551,0.682
0.09695000000000001,3.714,0.17559000000000002,0.736
0.11698,3.741,0.21556999999999998,0.611
0.13693,3.578,0.24548999999999999,0.364
0.15681,3.291,0.26538,0.097
0.18164000000000002,2.869,0.28027,-0.166
0.21636,2.214,0.29018,0.385
0.24609999999999999,1.618,0.29513,-0.499
0.26591000000000004,1.18,,
0.28076,0.842,,
0.29066,0.604,,
0.2956,0.479,,
