delta, eta
0.0, 0.7
3.3709981167608305, 0.6971830985915493
7.589453860640301, 0.6915492957746479
12.787193973634654, 0.6802816901408449
17.306967984934087, 0.6633802816901407
21.52542372881356, 0.6394366197183097
25.14124293785311, 0.6183098591549294
29.05838041431262, 0.5859154929577464
32.37288135593221, 0.5563380281690139
35.91337099811676, 0.5225352112676055
40.960451977401135, 0.48450704225352104
43.67231638418079, 0.4619718309859153
48.87005649717514, 0.41830985915492935
52.561205273069675, 0.388732394366197
57.00564971751412, 0.35352112676056324
60.01883239171376, 0.3309859154929575

